user_uid,following_uid
282994,19577966
282994,595407557
282994,1698123097
282994,157364998
282994,9902897
282994,323733137
282994,26108626
282994,3046429
282994,479409514
282994,16624619
282994,414336759
282994,140312650
282994,651039864
282994,44243
282994,454719565
282994,26798384
282994,24490535
282994,294794471
282994,11057377
282994,638816489
282994,401742377
282994,558215888
282994,6870383
282994,10565531
282994,300159010
282994,2615574
282994,405017096
282994,236589303
282994,7788379
282994,5055
282994,40430723
282994,485671471
282994,50092850
282994,14804670
282994,290548469
282994,25706078
282994,18690024
282994,37889997
282994,2689967
282994,400230277
282994,72270557
282994,14259022
282994,17555340
282994,510941798
282994,362831543
282994,403943112
282994,100105131
282994,1871297
282994,10007772
282994,417583826
282994,430801209
282994,37663924
282994,315898473
282994,364225566
282994,80333183
282994,486633990
282994,503481919
282994,290526283
282994,15449567
282994,56748733
282994,80333183
282994,486633990
282994,290526283
282994,15449567
282994,56748733
282994,254726274
282994,23340150
282994,21666376
282994,18149131
282994,456664753
282994,23172676
282994,163404472
282994,1576121
282994,405036467
282994,946974
282994,75912367
282994,326499679
282994,290738125
282994,99239148
282994,436473455
282994,44586238
282994,54992199
282994,6739643
282994,406472610
282994,347667464
282994,7584632
282994,26023642
282994,16419172
282994,367409090
282994,12820125
282994,385474
282994,403028828
282994,10119428
282994,386373471
282994,339233162
282994,421912906
282994,1998535
282994,203337614
282994,450681011
282994,455876411
11073,486183
11073,814133
11073,197098
11073,2026561407
11073,420249427
11073,480745939
11073,480680646
11073,7706705
11073,11253297
11073,3046429
11073,595407557
11073,413748120
11073,14387072
11073,358720428
11073,722472
11073,168598
11073,12807175
11073,648038986
11073,12874701
11073,29329085
11073,12874701
11073,29329085
11073,317478069
11073,10955537
11073,434334701
11073,386900246
11073,27534330
11073,313392
11073,1467772
11073,684169
11073,17409016
11073,316381099
11073,492849645
11073,2103351
11073,423442
11073,310726
11073,5055
11073,284120
11073,282994
11073,28814352
345630501,4470075
345630501,225526812
345630501,699863619
345630501,628009639
345630501,612449702
345630501,487922923
345630501,388130012
345630501,525678184
345630501,235555226
345630501,34224173
3046429,627605168
3046429,281117197
3046429,86168911
3046429,9303228
3046429,473164428
3046429,408487386
3046429,266159230
3046429,168598
3046429,14387072
3046429,52955639
3046429,317866
3046429,358606
3046429,2802313
3046429,1174107307
3046429,10013399
3046429,346563107
3046429,149853
3046429,1868902080
3046429,1197083978
3046429,414336759
3046429,245742750
3046429,11073
3046429,481001818
3046429,41149747
3046429,473524263
3046429,175632999
3046429,568089240
3046429,79577853
3046429,454719565
3046429,415479453
3046429,326246517
3046429,946974
3046429,10119428
3046429,927587
3046429,546195
3046429,17819768
3046429,22245135
3046429,9617619
3046429,16330793
3046429,32685766
3046429,28387500
3046429,533708129
3046429,471792754
3046429,16206007
3046429,53456
3046429,489412051
3046429,269319344
3046429,558070432
3046429,13394147
3046429,66407099
3046429,432733609
3046429,1463028352
3046429,419872064
3046429,1850091
3046429,1420982
3046429,39484226
3046429,291234769
3046429,361758725
3046429,297242063
3046429,303740257
3046429,32708543
3046429,18383276
3046429,386079516
3046429,651039864
3046429,417583826
3046429,434967398
3046429,353017413
3046429,517327498
3046429,677410823
3046429,501183549
3046429,19056798
3046429,458165375
3046429,523671351
3046429,10738238
3046429,386869863
3046429,598464467
3046429,3301695
3046429,213741
3046429,402923390
3046429,631186842
3046429,2306780
3046429,628560578
3046429,95480382
3046429,413748120
3046429,62540916
3046429,595407557
3046429,434378423
3046429,110448082
3046429,596324576
3046429,539534
3046429,5197192
3046429,403748305
3046429,1843759
3046429,140312650
3046429,517777067
3046429,545482920
3046429,28710712
3046429,441833336
3046429,500802171
3046429,476780145
415479453,686150641
415479453,605965818
415479453,8047632
415479453,6574487
415479453,18202105
415479453,1743366553
415479453,37090048
415479453,359155679
415479453,270734036
415479453,2920960
415479453,235555226
415479453,321173469
79577853,18358250
79577853,1567446009
79577853,485561627
79577853,556578472
79577853,405724215
79577853,106111107
79577853,893053
79577853,32135129
79577853,5775135
79577853,1328260
79577853,26258302
79577853,401742377
79577853,486633990
79577853,14626386
79577853,642389251
79577853,1868902080
79577853,23947287
79577853,11167
79577853,317321644
79577853,2200736
79577853,946974
79577853,111362
79577853,519872016
79577853,163637592
79577853,5294454
79577853,14804670
79577853,125526
79577853,253992474
79577853,330415548
79577853,355596637
79577853,2435767
79577853,454719565
79577853,521249172
79577853,300021061
79577853,2248410
79577853,271442527
79577853,19960863
79577853,9617619
79577853,22840678
79577853,434376696
79577853,19960863
79577853,9617619
79577853,434376696
79577853,35359510
79577853,617285
79577853,35874169
79577853,598464467
79577853,549117578
79577853,270317383
79577853,43222001
79577853,145149047
79577853,9303228
79577853,305814935
79577853,481774557
79577853,3894214
79577853,8828352
79577853,524668406
79577853,27880221
79577853,430633779
79577853,89066983
79577853,470156882
79577853,35847683
79577853,438880209
79577853,477547674
79577853,378885845
79577853,483146423
79577853,574337103
79577853,8047632
79577853,189122617
79577853,591302230
79577853,382727474
79577853,590754017
79577853,106685726
79577853,517491339
79577853,43645887
79577853,481393564
79577853,413394986
79577853,119801456
79577853,80304
79577853,26362491
79577853,16395179
79577853,208259
79577853,144900177
79577853,7584632
79577853,396455929
79577853,37806314
79577853,235555226
79577853,176037767
79577853,4526534
79577853,319438468
79577853,21416270
79577853,472747194
79577853,389452
79577853,295622232
79577853,328338397
79577853,14528900
79577853,37090048
79577853,43582057
79577853,67390259
79577853,2395115
596324576,1147172325
596324576,279583114
596324576,1868902080
596324576,9617619
596324576,670404077
596324576,677854054
596324576,32708543
596324576,472527812
596324576,544479873
596324576,12076317
596324576,37090048
596324576,235555226
596324576,8047632
375375,113362335
375375,18202105
375375,381575092
375375,208259
375375,43536
375375,391679
375375,116683
